gene_symbol,protein_name,verdict,include_in_analysis,exclusion_category,surface_notes,internalization_notes,therapeutic_window_notes,pk_notes,safety_notes,competition_notes,physiology_notes,oncogenic_notes,isoforms_notes,toolbox_notes,monospecific_feasible,bispecific_rationale,recommended_gating,key_concerns,recommendation,last_updated,updated_by
CCR9,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
S100A4,,Excluded,false,Stromal,,,,,S100 calcium-binding protein A4 - fibroblast marker,,,,,,No,,N/A,S100 calcium-binding protein A4 - fibroblast marker,Excluded: Stromal,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual)
THY1,,Excluded,false,Stromal,,,,,CD90 - mesenchymal stem cell and fibroblast marker,,,,,,No,,N/A,CD90 - mesenchymal stem cell and fibroblast marker,Excluded: Stromal,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual; NanoString; scRNAseq)
CXCR2,,Excluded,false,TME-Neutrophil,,,,,IL-8 receptor beta - neutrophil chemokine receptor; TME cell not tumor cell,,,,,,No,,N/A,IL-8 receptor beta - neutrophil chemokine receptor; TME cell not tumor cell,Excluded: TME-Neutrophil,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual; NanoString)
HLA-A,,Excluded,false,Antigen-presenting,,,,,MHC class I - essential for CD8 T-cell antigen recognition; broad off-tumor toxicity,,,,,,No,,N/A,MHC class I - essential for CD8 T-cell antigen recognition; broad off-tumor toxicity,Excluded: Antigen-presenting,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual)
ABCC1,Multidrug resistance-associated protein 1 (MRP1),Excluded,false,Multi-pass topology,17-TM ABC transporter with extremely small extracellular loops; inaccessible topology fundamentally limits antibody access,No data; drug efflux pump designed for membrane retention - opposes ADC internalization requirements,"Ubiquitous expression including heart, lung, kidney, brain (choroid plexus), PBMCs; no tumor selectivity",PBMC expression creates antibody sink; minimal surface epitopes due to topology,DFNA77 deafness from mutations; protective/detoxification function; heart and brain expression creates toxicity risk,No ADC programs; studied as drug resistance mechanism not therapeutic target,,,,,No,Not applicable - topology fundamentally precludes antibody targeting,N/A,17-TM topology with inaccessible ECD; efflux pump opposes internalization; ubiquitous expression including heart/brain,Do not advance - fundamentally unsuitable for ADC development,2026-02-03T22:14:35.468176,R1 Batch Processing (Claude+Gemini)
FCAR,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
LILRA5,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
CX3CR1,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
FCGR2A,,Excluded,false,Immune Marker,,,,,Surface marker from NanoString; scRNA-seq (Myeloid),,,,,,No,,N/A,Surface marker from NanoString; scRNA-seq (Myeloid),Excluded: Immune Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString; scRNAseq)
GHR,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
CXCR1,,Excluded,false,TME-Neutrophil,,,,,IL-8 receptor alpha - neutrophil chemokine receptor; TME cell not tumor cell,,,,,,No,,N/A,IL-8 receptor alpha - neutrophil chemokine receptor; TME cell not tumor cell,Excluded: TME-Neutrophil,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual; NanoString)
KIR2DL4,,Excluded,false,NK-cell,,,,,KIR receptor - NK inhibitory receptor; would ablate NK compartment,,,,,,No,,N/A,KIR receptor - NK inhibitory receptor; would ablate NK compartment,Excluded: NK-cell,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual)
TNFRSF21,Death Receptor 6 (DR6),Conditional,true,"",Type I TM; death receptor family,Saporin assay validates internalization,CSC targeting; brain/heart concern,sDR6 shedding moderate,Brain/heart expression,Limited competition,,,,,No,AND-gate for brain/heart safety,AND-gate,Brain/heart expression; shedding,CONDITIONAL: AND-gate for CNS/cardiac safety,2026-02-04T16:04:06.711927,R5 batch (Claude+Gemini combined)
IL18RAP,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
PDGFRA,,Excluded,false,Cancer-associated fibroblast,,,,,Platelet-derived growth factor receptor alpha - CAF marker,,,,,,No,,N/A,Platelet-derived growth factor receptor alpha - CAF marker,Excluded: Cancer-associated fibroblast,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual)
B2M,,Excluded,false,Antigen-presenting,,,,,Beta-2-microglobulin - MHC-I chaperone; loss of antigen presentation globally,,,,,,No,,N/A,Beta-2-microglobulin - MHC-I chaperone; loss of antigen presentation globally,Excluded: Antigen-presenting,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual)
MICB,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
ITGA1,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
GGT1,Gamma-Glutamyltransferase 1,Excluded,false,Shedding,Type II TM,Yes but massive shedding,Clinical biomarker = massive shedding sink,WORST-CASE shedding sink,Nephrotoxicity risk,No ADC programs,,,,,No,N/A,N/A,Massive shedding (clinical biomarker); nephrotoxicity,EXCLUDED: Untreatable shedding sink,2026-02-04T16:04:06.711927,R5 batch (Claude+Gemini combined)
NOD2,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
BLNK,,Excluded,false,IDP (Intrinsically Disordered Protein),,,,,B-cell linker protein - 72% disorder,,,,,,No,,N/A,B-cell linker protein - 72% disorder,Excluded: IDP (Intrinsically Disordered Protein),2026-02-02T09:17:53.282929,Migrated from blacklist (IDP)
ITGA2B,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
CRB3,,Excluded,true,Literature review,,,,,Tumor suppressor; CRB3 loss promotes EMT and cancer stem cell properties; targeting absent protein is biologically inverted,,,,,,No,,N/A,Tumor suppressor; CRB3 loss promotes EMT and cancer stem cell properties; targeting absent protein is biologically inverted,Excluded: De-validated,2026-02-02 14:47:45,Migrated from blacklist (Biology Assessment)
PROM1,Prominin-1 (CD133),Conditional,true,Literature review,"Pentaspan (5-TM) glycoprotein with N-terminus extracellular, C-terminus intracellular. Two LARGE extracellular loops (~260 aa and ~290 aa) connecting TM2-TM3 and TM4-TM5 provide accessible epitopes - unlike problematic multi-pass channels. ~120 kDa heavily glycosylated (8 N-glycosylation sites). Concentrated in membrane protrusions (microvilli, cilia, filopodia). IHC reliability Enhanced. CANONICAL CSC MARKER. Sources: UniProt O43490; Human Protein Atlas ENSG00000007062; Fargeas et al., Cell Mol Biol Lett 2024","ADC proof-of-concept: AC133-vcMMAF demonstrated effective internalization with lysosomal trafficking (colocalized with CD107a) and IC50 2-7 ng/ml against CD133+ Hep3B and KATO III cells. Caspase 3/7 activation confirmed. In vivo efficacy: significant tumor growth delay in Hep3B xenografts. Some cell lines show caveolae trafficking (resistance mechanism). Clathrin-mediated with recycling. Sources: Smith et al., Br J Cancer 2008 (PMID: 18542072); Nature Sci Rep 2019","CSC marker in GBM, colorectal, HCC, pancreatic (>=50%), gastric, cholangiocarcinoma (>=50% - best indication), lung, TNBC, ovarian, melanoma. CRITICAL: marker for NORMAL stem cells - HSCs, endothelial progenitors, neural stem cells, intestinal stem cells, renal progenitors. High retinal (cone photoreceptors ~1157 nCPM). HETEROGENEOUS tumor expression - only CSC subpopulation (1-5%) positive. Sources: Human Protein Atlas; Smith et al. 2008; CSC literature","CD133 actively released in membrane particles (prominosomes): microvesicles (50-600nm) from microvilli/cilia, exosomes, midbody vesicles. CD133+ particles in CSF, urine, saliva, seminal fluid. Elevated in GBM patient CSF. Creates potential decoy. Expression on circulating HSPCs (rare ~0.07% PBMCs) but NOT on mature RBCs or platelets. LOW COPY NUMBER (~10^3 vs HER2 ~10^6) is major limitation. Sources: J Nanobiotechnology 2025; Marzesco et al., J Cell Sci 2005; Bauer et al., EMBO Mol Med 2011","NOT pan-essential in DepMap. Prom1-/- mice viable and fertile with only retinal phenotype. CRITICAL: PROM1 mutations cause inherited RETINAL DYSTROPHIES including Retinitis Pigmentosa 41 (blindness by 3rd decade), Macular Dystrophy Retinal 2, Stargardt Disease 4, Cone-Rod Dystrophy 12 - HIGH RISK of ocular toxicity. HSC expression creates bone marrow toxicity risk. NOT tumor suppressor - promotes CSC maintenance. Sources: OMIM #604365, #612095, #608051; Zacchigna et al., J Neurosci 2009",No active CD133 ADC clinical trials. Seattle Genetics AC133-vcMMAF published 2008 but NOT advanced clinically - therapeutic window concerns from normal stem cell expression. CAR-T approaches in early clinical development. ICT-121 dendritic cell vaccine in GBM trials. 293C3-SDIE Fc-enhanced mAb preclinical. Absence of advanced ADC programs reflects therapeutic window challenges. Sources: ClinicalTrials.gov; Smith et al. 2008; pipeline databases,,,,,No,"Normal HSC and retinal expression requires AND-gate with tumor-selective antigen (EGFR, EpCAM). EGFR provides bulk tumor binding; CD133 arm directs payload to resistant CSC niche. Similar to MCLA-158 approach for LGR5.",AND-gate,Normal HSC expression - BM toxicity; High retinal expression with genetic disease support (blindness); Prominosome shedding - drug sink; Heterogeneous expression; Low copy number requiring PBD payloads,Strong CSC rationale with ADC PoC. Cholangiocarcinoma best indication (>50% CD133+). AND-gate bispecific with EGFR/EpCAM essential. Ultra-potent payload (PBD) needed for low copy number. Ocular/hematologic monitoring required.,2026-02-03 21:06:41,P0 Combined Assessment (Claude+Gemini) - Sources Added
SLAMF1,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
ITGB3,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
CDH1,Cadherin-1 / E-cadherin / CD324,Excluded,false,Tumor Suppressor,120 kDa Type I TM glycoprotein with 5 EC cadherin repeats. Large ECD (~600 aa). Sources: UniProt P12830,Constitutive endocytosis via p120-catenin. P-cadherin ADC shows cadherin family can internalize.,TUMOR SUPPRESSOR: Ubiquitous on epithelia. REDUCED/LOST in aggressive cancers via EMT. INVERSE window.,"Cleaved by ADAM10, MMPs generating 80 kDa sE-cad decoy. High shedding + large normal sink.",HDGC syndrome from CDH1 mutations (56-70% gastric cancer risk). Loss in 84% lobular breast. Sources: OMIM 137215,No E-cadherin ADC programs. P-cadherin (CDH3) ADC targets OVEREXPRESSED cadherin.,,,,,No,Not applicable - tumor suppressor function is fundamental exclusion,N/A,TUMOR SUPPRESSOR; ubiquitous normal; shedding; hereditary cancer syndrome,EXCLUDED: Tumor suppressor - target LOST in aggressive disease.,2026-02-03T21:52:49.930434,P3 batch (Claude+Gemini combined) - UPDATED
CLEC4A,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
CTLA4,,Excluded,false,T-cell,,,,,CD152 - immune checkpoint T-cell inhibitory receptor,,,,,,No,,N/A,CD152 - immune checkpoint T-cell inhibitory receptor,Excluded: T-cell,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual; NanoString)
RGS2,,Excluded,false,Immune Marker,,,,,Surface marker from scRNA-seq (Myeloid),,,,,,No,,N/A,Surface marker from scRNA-seq (Myeloid),Excluded: Immune Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (scRNAseq)
C3AR1,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
MCAM,,Excluded,false,Endothelial Marker,,,,,Surface marker from NanoString; scRNA-seq (Endothelial),,,,,,No,,N/A,Surface marker from NanoString; scRNA-seq (Endothelial),Excluded: Endothelial Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString; scRNAseq)
CD160,,Excluded,false,NK-cell,,,,,CD160 - NK/T-cell co-stimulatory receptor; MCP-counter cytotoxic lymphocyte marker,,,,,,No,,N/A,CD160 - NK/T-cell co-stimulatory receptor; MCP-counter cytotoxic lymphocyte marker,Excluded: NK-cell,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual; NanoString)
KDR,,Excluded,false,TME-Endothelial,,,,,VEGFR2 - endothelial marker; anti-angiogenic target relevant to kidney cancer,,,,,,No,,N/A,VEGFR2 - endothelial marker; anti-angiogenic target relevant to kidney cancer,Excluded: TME-Endothelial,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual; NanoString; scRNAseq)
SLC9A1,Na+/H+ Exchanger 1 (NHE1),Excluded,false,Essential Gene,Multi-pass 12-TM,No pathway,Ubiquitous housekeeping,N/A,Lethal systemic toxicity,No ADC programs,,,,,No,N/A,N/A,Ubiquitous housekeeping; lethal if targeted,EXCLUDED: Essential housekeeping,2026-02-04T16:04:06.711927,R5 batch (Claude+Gemini combined)
FCER1A,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
PLVAP,,Excluded,false,Endothelial Marker,,,,,Surface marker from scRNA-seq (Endothelial),,,,,,No,,N/A,Surface marker from scRNA-seq (Endothelial),Excluded: Endothelial Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (scRNAseq)
HLA-DRB5,HLA Class II DR Beta 5,Excluded,false,Immune Cell Target,Type I TM; MHC Class II,Complex MHC II trafficking,"IMMUNE CELLS (B cells, DCs, macrophages) not tumor cells; haplotype-restricted",NECD shed during activation,Would cause profound immunosuppression,No solid tumor ADC programs,,,,,No,N/A,N/A,Immune cell expression; not tumor cells; immunosuppression,EXCLUDED: Immune cell target + immunosuppression,2026-02-04T16:04:06.711927,R7 batch (Claude+Gemini combined)
CCR4,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
CYBB,,Excluded,false,Immune Marker,,,,,Surface marker from NanoString; scRNA-seq (Myeloid),,,,,,No,,N/A,Surface marker from NanoString; scRNA-seq (Myeloid),Excluded: Immune Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString; scRNAseq)
FGFR4,Fibroblast Growth Factor Receptor 4,Conditional,true,"",Type I TM RTK with 3 Ig-like ECD domains; tissue-enhanced in liver and lung; regulated expression compared to FGFR1-3,HIGH: Well-characterized ligand-induced CME; bivalent antibodies trigger internalization independently of kinase; FGFR4 recycles MORE than other FGFRs (less ubiquitination) = may need linker optimization,NARROW: Excellent for FGF19-amplified HCC/CCA (~20% subset); BUT constitutively expressed on hepatocytes = hepatotoxicity concern,No significant shedding; receptor recycling may affect payload delivery kinetics; no blood cell expression; high expression in FGF19+ tumors,SIGNIFICANT: KO mice viable with elevated cholesterol/abnormal bile acid metabolism; Fisogatinib/FGF401 show diarrhea (bile acid) as main AE; H3B-6527 and U3-1784 discontinued,Fisogatinib (BLU-554) Phase 1/2; FGF401 (Novartis) Phase 1/2; H3B-6527 Phase 1; U3-1784 antibody TERMINATED; No approved FGFR4-ADCs,,,,,Marginal,MUC13 x FGFR4 bispecific would spare hepatocytes (FGFR4+/MUC13-) while targeting CCA (FGFR4+/MUC13+); essential for liver protection,AND-gate,HIGH LIVER EXPRESSION = hepatotoxicity; FGFR4 recycling reduces lysosomal trafficking; multiple clinical program discontinuations,CONDITIONAL: Hepatotoxicity concern is real but manageable with FGF19 patient selection and bispecific format. Linker optimization required for recycling receptor.,2026-02-03T22:48:39.346929,S1 batch (Claude+Gemini combined)
CCR7,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
TSPAN15,Tetraspanin-15,Conditional,true,"",Multi-pass tetraspanin; NOT tumor suppressor,ADAM10 regulation provides trafficking,CCA-specific opportunity,No major shedding,Safe knockout phenotype,Blue ocean CCA opportunity,,,,,Marginal,Expand to heterogeneous tumors,Either,Tetraspanin topology; best tetraspanin candidate,CONDITIONAL: CCA blue ocean opportunity,2026-02-04T16:04:06.711927,R5 batch (Claude+Gemini combined)
SH2B2,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
CD80,,Excluded,false,Monocyte/Macrophage,,,,,M1 macrophage marker - costimulatory molecule,,,,,,No,,N/A,M1 macrophage marker - costimulatory molecule,Excluded: Monocyte/Macrophage,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual; NanoString)
SLC31A1,Copper Transporter 1 (CTR1),Excluded,false,Essential Gene,Multi-pass 3-TM trimeric channel; ~65aa ECD,Copper-stimulated endocytosis,ESSENTIAL GENE; embryonic lethal KO; ubiquitous,Potential cleavage,NSCT disease; copper homeostasis essential,No ADC programs - topology/essentiality,,,,,No,N/A,N/A,Essential gene; multi-pass topology; NSCT disease,EXCLUDED: Essential gene + topology,2026-02-04T16:04:06.711927,R6 batch (Claude+Gemini combined)
TNFRSF4,,Excluded,false,T-cell,,,,,OX40 - TNFR family co-stimulator; depletes activated T cells,,,,,,No,,N/A,OX40 - TNFR family co-stimulator; depletes activated T cells,Excluded: T-cell,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual; NanoString)
CD52,,Excluded,false,Immune Marker,,,,,"Surface marker from scRNA-seq (B cell, T cell)",,,,,,No,,N/A,"Surface marker from scRNA-seq (B cell, T cell)",Excluded: Immune Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (scRNAseq)
FCGR1A,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
CLECL1,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
GPR183,,Excluded,false,Immune Marker,,,,,Surface marker from scRNA-seq (Myeloid),,,,,,No,,N/A,Surface marker from scRNA-seq (Myeloid),Excluded: Immune Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (scRNAseq)
NOTCH2,Neurogenic Locus Notch Homolog Protein 2,Excluded,false,Clinical Toxicity Precedent,Type I TM receptor with large ECD (~220 kDa) with 36 EGF-like repeats. Sources: UniProt Q04721,Ligand-induced via proteolytic mechanism. Cleavage-based mechanism problematic for ADC.,Ubiquitously expressed. No clear tumor selectivity. Sources: HPA,Regulated cleavage releases NECD as soluble decoy. Bone marrow expression poses hematologic toxicity.,"SEVERE: Alagille Syndrome-2, Hajdu-Cheney Syndrome. CLINICAL: Tarextumab showed CV toxicity. Sources: OMIM",Tarextumab DISCONTINUED - lack of efficacy AND cardiovascular toxicity.,,,,,No,Not applicable - fundamental biological and safety liabilities,N/A,Proteolytic cleavage (soluble decoy); ubiquitous expression; severe disorders; clinical CV toxicity,EXCLUDED: Multiple liabilities including VALIDATED CLINICAL TOXICITY.,2026-02-03T21:52:49.930409,P3 batch (Claude+Gemini combined)
CD59,CD59 Glycoprotein / Protectin / MAC-Inhibitory Protein,Excluded,false,Blood Cell Expression + Hemolysis,GPI-anchored cell surface protein (~18-20 kDa); Ly6/uPAR superfamily; three-beta-sheet/alpha-helix ectodomain; highly glycosylated,GPI proteins internalize via flotillin-dependent pathway through Arf6 endosomes; generally SLOWER than Type I TM; undergoes recycling limiting lysosomal trafficking; no ADC PoC,"CRITICAL: Present on ALL CIRCULATING BLOOD CELLS (RBCs, leukocytes, platelets) and vascular endothelium; tumor overexpression exists but normal expression overwhelming",INSURMOUNTABLE SINK: Expression on every erythrocyte = rapid ADC clearance; GPI anchor can be cleaved by phospholipases creating soluble decoy,CRITICAL: CD59 deficiency causes HEMOLYTIC ANEMIA (HACD59); blocking CD59 = complement-mediated hemolysis (similar to PNH); essential for complement protection,No ADC programs; CD59 studied as complement resistance target (blocking to sensitize tumors) not as ADC target,,,,,No,Even strict AND-gate cannot overcome RBC sink thermodynamically; any binding to RBCs causes hemolysis,N/A,"Expression on ALL blood cells (RBCs, leukocytes, platelets); targeting causes HEMOLYSIS; GPI cleavage creates soluble decoy; slow/recycling internalization",EXCLUDED: Blood cell expression is insurmountable. Targeting would cause catastrophic hemolysis. Genetic disease phenotype (HACD59) demonstrates severe consequence.,2026-02-03T22:32:49.015248,R3 batch (Claude+Gemini combined)
