gene1,gene2,error,error_type,timestamp
C16ORF54,EGFR,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:47:56.366955
CAPRIN1,EGFR,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:47:57.142500
CBL,EGFR,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:47:57.245060
CBLB,EGFR,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:47:57.347177
CTSD,EGFR,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:48:05.881031
DLL3,TLR7,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:06.666180
EGFR,ENO2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:07.681103
EGFR,ESR1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:08.239470
EGFR,F2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:08.343394
EGFR,FN1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:09.585523
EGFR,FTMT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:09.689502
EGFR,FUT4,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:09.794179
EGFR,GCNT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:10.354326
EGFR,GPC2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:10.674517
EGFR,HRAS,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:12.122883
EGFR,KEAP1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:14.503385
EGFR,KLK3,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:14.603748
EGFR,LGALS3BP,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:14.931604
EGFR,LY6G6D,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:15.268191
EGFR,LY75-CD302,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:15.369208
EGFR,MTX1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:16.832758
EGFR,MTX2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:16.939017
EGFR,MTX3,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:17.044087
EGFR,MYC,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:17.624296
EGFR,NR3C1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:18.185408
EGFR,NR5A2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:18.286257
EGFR,NRAS,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:18.387442
EGFR,NTN1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:18.487955
EGFR,PSG1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:19.744209
EGFR,RAB6A,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:20.533803
EGFR,SERTAD2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:20.869278
EGFR,SPA17,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:22.621154
EGFR,SSBP4,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:22.722843
EGFR,ST13,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:22.823466
EGFR,TBX1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:23.149237
EGFR,TGFBR3L,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:23.479865
EGFR,TYRP1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:25.632417
EGFR,USP7,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:25.963972
EGFR,VEGFD,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:26.065443
EGFR,VIM,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:26.168115
FOLH1,TLR8,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:26.949647
GSPT1,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:48:27.053110
MET,STING1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:29.651051
NAMPT,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:48:29.755341
SMARCA2,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:48:31.001359
TLR7,TPBG,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:48:31.564741
CD274,DCLK1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:36.159959
CD274,KRAS,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:40.077951
CD274,MUC5AC,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:40.878501
CD274,NCL,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:40.983269
CD274,NUTF2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:41.089086
CD274,POMP,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:41.194459
CD274,SMARCA4,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:42.430167
CD274,STING1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:42.757806
CD274,VEGFA,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:43.305826
CD276,GSPT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:44.992840
CD276,NAMPT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:45.982979
CD276,SMARCA2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:47.233247
CD22,TLR7,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:51.690119
DCLK1,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:48:55.486597
DLL3,TLR8,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:55.590447
EPCAM,TLR7,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:55.930323
GSPT1,MET,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:48:58.499648
GUCY2C,TLR7,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:48:58.602071
ITGB6,TLR7,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:00.531610
KRAS,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:49:00.861474
MET,NAMPT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:02.111338
MET,NMT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:02.212030
MET,SMARCA2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:03.440733
MUC5AC,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:49:03.773498
NCL,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:49:03.877323
NUTF2,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:49:03.979845
PDCD1,TLR7,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:04.087717
POMP,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:49:04.418043
SEZ6,TLR7,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:04.986865
SMARCA4,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:49:05.794817
SSTR2,TLR7,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:05.900667
TACSTD2,STING1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:06.237044
TACSTD2,VEGFA,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:06.799162
TACSTD2,VEGFB,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:06.902465
TLR8,TPBG,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:49:07.005146
B4GALNT1,CD274,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:49:10.505344
BAK1,CD274,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:49:10.610417
C16ORF54,CD274,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:49:10.946345
CAPRIN1,CD274,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:49:11.962311
CBL,CD274,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:49:12.064257
CBLB,CD274,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:49:12.164473
CD274,CTSD,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:19.718216
CD274,ENO2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:21.185872
CD274,ESR1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:21.742968
CD274,F2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:21.844982
CD274,FN1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:23.315420
CD274,FTMT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:23.416408
CD274,FUT4,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:23.517431
CD274,GCNT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:24.057236
CD274,GPC2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:24.379266
CD274,HRAS,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:25.855162
CD274,KEAP1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:28.186774
CD274,KLK3,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:28.286234
CD274,LGALS3BP,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:28.608057
CD274,LY6G6D,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:28.923975
CD274,LY75-CD302,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:29.023483
CD274,MTX1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:30.474253
CD274,MTX2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:30.572521
CD274,MTX3,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:30.671370
CD274,MYC,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:31.225377
CD274,NR3C1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:31.776969
CD274,NR5A2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:31.874468
CD274,NRAS,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:31.973406
CD274,NTN1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:32.070570
CD274,PSG1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:33.295231
CD274,RAB6A,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:34.080999
CD274,SERTAD2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:34.410575
CD274,SPA17,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:36.094651
CD274,SSBP4,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:36.195038
CD274,ST13,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:36.295003
CD274,TBX1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:36.616536
CD274,TGFB1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:36.938988
CD274,TGFBR3L,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:37.041303
CD274,TYRP1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:39.212431
CD274,USP7,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:39.545851
CD274,VEGFD,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:39.645911
CD274,VIM,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:39.746068
CD276,DCLK1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:41.883741
CD276,KRAS,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:46.086589
CD276,MUC5AC,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:46.866810
CD276,NCL,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:46.966204
CD276,NUTF2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:47.065999
CD276,POMP,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:47.397468
CD276,SMARCA4,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:48.650657
CD276,STING1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:48.985072
CD276,VEGFA,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:49.545582
CD276,VEGFB,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:49.648482
AXL,TLR7,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:54.780116
B4GALNT1,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:49:54.885411
BAK1,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:49:54.990431
C16ORF54,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:49:55.323467
CAPRIN1,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:49:56.346751
CBL,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:49:56.449270
CBLB,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:49:56.551447
CD19,TLR7,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:58.239184
CD22,TLR8,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:58.792713
CD33,TLR7,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:49:59.589860
CD7,TLR7,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:50:02.442571
CTSD,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:07.284788
DCLK1,MET,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:07.850866
ENO2,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:09.323758
EPCAM,TLR8,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:50:09.654269
ESR1,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:10.448975
F2,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:10.552797
FN1,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:12.258762
FTMT,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:12.597512
FUT4,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:12.701016
GCNT1,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:13.486678
GPC2,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:14.282421
GUCY2C,TLR8,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:50:15.778232
HRAS,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:17.038214
ITGB6,TLR8,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:50:20.116009
KEAP1,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:20.681946
KLK3,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:21.001932
KRAS,MET,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:21.099518
LGALS3BP,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:21.422084
LY6G6D,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:22.201025
LY75-CD302,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:22.299721
MET,MUC5AC,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:50:22.841780
MET,NCL,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:50:22.941878
MET,NUTF2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:50:23.042580
MET,POMP,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:50:23.364961
MET,SMARCA4,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:50:24.598433
MET,STING1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:50:24.927077
MET,VEGFA,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:50:25.505472
MET,VEGFB,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:50:25.609127
MTX1,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:26.856475
MTX2,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:26.958624
MTX3,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:27.062676
MYC,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:27.620212
NR3C1,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:28.185130
NR5A2,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:28.287645
NRAS,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:28.391876
NTN1,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:28.494269
PDCD1,TLR8,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:50:28.824251
PSG1,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:29.848294
RAB6A,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:30.627592
SERTAD2,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:30.964223
SEZ6,TLR8,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:50:31.067924
SPA17,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:32.758420
SSBP4,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:32.859950
SSTR2,TLR8,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:50:32.961986
ST13,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:33.065418
TACSTD2,TBX1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:50:33.397949
TACSTD2,TGFB1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:50:33.720368
TACSTD2,TGFBR3L,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:50:33.819593
TACSTD2,TYRP1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:50:35.961859
TACSTD2,USP7,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:50:36.289633
TACSTD2,VEGFD,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:50:36.391419
TACSTD2,VIM,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:50:36.494071
B4GALNT1,CD276,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:38.934124
BAK1,CD276,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:39.036853
C16ORF54,CD276,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:39.139556
CAPRIN1,CD276,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:50:39.935487
